emb_x,emb_y,NoOfAttributes,NoOfClasses,DataSetSize,AttributeType,EntropyLabel,AvgEntrophyFeatures,AvgCorelationBetFeatures,2_6_8_TrainingAccuracy,2_6_8_TestAccuracy,1_5_0_TrainingAccuracy,1_5_0_TestAccuracy,2_6_20_TrainingAccuracy,2_6_20_TestAccuracy,Accuracy,Legal
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,3.97E-36,0
0.9983399,0.9076684,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6635235,1
0.002488936,0.43755016,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.000164124,0
0.04178801,0.28381002,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6857169,1
-0.99387765,-0.7584358,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,8.08E-28,0
0.29181898,0.36096343,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.68620074,1
0.71748054,0.7955373,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,2.04E-05,0
0.9891413,0.95983297,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6646735,1
-0.009779573,0.86603945,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.000940081,0
0.932896,0.99238926,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6694823,1
