num_layers,num_node1,num_node2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,test_acc
1,1,0,0,0,0,1,0,0,0,0,0,0,0.989090919
1,19,0,0,0,0,0,1,0,0,0,0,0,0.641311526
2,15,3,0,0,0,0,1,0,0,0,0,0,0.61986202
1,6,0,0,0,0,0,1,0,0,0,0,0,0.54266274
1,14,0,0,0,0,0,1,0,0,0,0,0,0.600113392
2,4,21,0,0,0,0,1,0,0,0,0,0,0.6758008
1,18,0,0,0,0,0,1,0,0,0,0,0,0.687328756
2,13,2,0,0,0,0,1,0,0,0,0,0,0.577530026
1,11,0,0,0,0,0,1,0,0,0,0,0,0.608995557
2,15,16,0,0,0,0,1,0,0,0,0,0,0.708305776
1,23,0,0,0,0,0,1,0,0,0,0,0,0.679485977
1,1,0,0,0,0,0,1,0,0,0,0,0,0.444391936
2,6,22,0,0,0,0,1,0,0,0,0,0,0.706982911
2,22,8,0,0,0,0,1,0,0,0,0,0,0.681942761
2,16,22,0,0,0,0,1,0,0,0,0,0,0.743267477
1,2,0,0,0,0,0,1,0,0,0,0,0,0.468959659
2,4,1,0,0,0,0,1,0,0,0,0,0,0.52433145
1,16,0,0,0,0,0,1,0,0,0,0,0,0.633752227
2,21,5,0,0,0,0,1,0,0,0,0,0,0.630256057
2,17,17,0,0,0,0,1,0,0,0,0,0,0.723235369
2,14,18,0,0,0,0,1,0,0,0,0,0,0.720589638
2,16,22,0,0,0,0,1,0,0,0,0,0,0.684588492
1,3,0,0,0,0,0,1,0,0,0,0,0,0.472644806
2,6,22,0,0,0,0,1,0,0,0,0,0,0.688651621
1,16,0,0,0,0,0,1,0,0,0,0,0,0.618444681
2,8,1,0,0,0,0,1,0,0,0,0,0,0.544552565
1,8,0,0,0,0,0,1,0,0,0,0,0,0.562411427
1,21,0,0,0,0,0,1,0,0,0,0,0,0.683454573
1,15,0,0,0,0,0,1,0,0,0,0,0,0.603420556
2,8,20,0,0,0,0,1,0,0,0,0,0,0.702730775
2,4,9,0,0,0,0,1,0,0,0,0,0,0.58490032
1,20,0,0,0,0,0,1,0,0,0,0,0,0.610223949
1,6,0,0,0,0,0,1,0,0,0,0,0,0.55230087
1,1,0,0,0,0,0,1,0,0,0,0,0,0.439005941
1,8,0,0,0,0,0,1,0,0,0,0,0,0.599357486
2,22,7,0,0,0,0,1,0,0,0,0,0,0.708589256
2,3,20,0,0,0,0,1,0,0,0,0,0,0.58490032
1,1,0,0,0,0,0,1,0,0,0,0,0,0.442691118
1,12,0,0,0,0,0,1,0,0,0,0,0,0.620806932
2,22,17,0,0,0,0,1,0,0,0,0,0,0.731172621
2,11,13,0,0,0,0,1,0,0,0,0,0,0.709156215
1,8,0,0,0,0,0,1,0,0,0,0,0,0.558537304
2,23,14,0,0,0,0,1,0,0,0,0,0,0.718794286
1,8,0,0,0,0,0,1,0,0,0,0,0,0.542473793
