emb_x,emb_y,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
-20,-5.660377358,0,1,0,0,0,0,0,0,0,0
-20,-5.408805031,0,1,0,0,0,0,0,0,0,0
-20,-5.157232704,0,1,0,0,0,0,0,0,0,0
-20,-4.905660377,0,1,0,0,0,0,0,0,0,0
-20,-4.65408805,0,1,0,0,0,0,0,0,0,0
-20,-4.402515723,0,1,0,0,0,0,0,0,0,0
-20,-4.150943396,0,1,0,0,0,0,0,0,0,0
-20,-3.899371069,0,1,0,0,0,0,0,0,0,0
-20,-3.647798742,0,1,0,0,0,0,0,0,0,0
-20,-3.396226415,0,1,0,0,0,0,0,0,0,0
-20,-3.144654088,0,1,0,0,0,0,0,0,0,0
-20,-2.893081761,0,1,0,0,0,0,0,0,0,0
-20,-2.641509434,0,1,0,0,0,0,0,0,0,0
-20,-2.389937107,0,1,0,0,0,0,0,0,0,0
-20,-2.13836478,0,1,0,0,0,0,0,0,0,0
-20,-1.886792453,0,1,0,0,0,0,0,0,0,0
-20,-1.635220126,0,1,0,0,0,0,0,0,0,0
-20,-1.383647799,0,1,0,0,0,0,0,0,0,0
-20,-1.132075472,0,1,0,0,0,0,0,0,0,0
-20,-0.880503145,0,1,0,0,0,0,0,0,0,0
-20,-0.628930818,0,1,0,0,0,0,0,0,0,0
-20,-0.377358491,0,1,0,0,0,0,0,0,0,0
-20,-0.125786164,0,1,0,0,0,0,0,0,0,0
-20,0.125786164,0,1,0,0,0,0,0,0,0,0
-20,0.377358491,0,1,0,0,0,0,0,0,0,0
-20,0.628930818,0,1,0,0,0,0,0,0,0,0
-20,0.880503145,0,1,0,0,0,0,0,0,0,0
-20,1.132075472,0,1,0,0,0,0,0,0,0,0
-20,1.383647799,0,1,0,0,0,0,0,0,0,0
-20,1.635220126,0,1,0,0,0,0,0,0,0,0
-20,1.886792453,0,1,0,0,0,0,0,0,0,0
-20,2.13836478,0,1,0,0,0,0,0,0,0,0
-20,2.389937107,0,1,0,0,0,0,0,0,0,0
-20,2.641509434,0,1,0,0,0,0,0,0,0,0
-20,2.893081761,0,1,0,0,0,0,0,0,0,0
-20,3.144654088,0,1,0,0,0,0,0,0,0,0
-20,3.396226415,0,1,0,0,0,0,0,0,0,0
-20,3.647798742,0,1,0,0,0,0,0,0,0,0
-20,3.899371069,0,1,0,0,0,0,0,0,0,0
-20,4.150943396,0,1,0,0,0,0,0,0,0,0
-20,4.402515723,0,1,0,0,0,0,0,0,0,0
-20,4.65408805,0,1,0,0,0,0,0,0,0,0
-20,4.905660377,0,1,0,0,0,0,0,0,0,0
-20,5.157232704,0,1,0,0,0,0,0,0,0,0
-20,5.408805031,0,1,0,0,0,0,0,0,0,0
-20,5.660377358,0,1,0,0,0,0,0,0,0,0
-20,5.911949686,0,1,0,0,0,0,0,0,0,0
-20,6.163522013,0,1,0,0,0,0,0,0,0,0
-20,6.41509434,0,1,0,0,0,0,0,0,0,0
-20,6.666666667,0,1,0,0,0,0,0,0,0,0
-20,6.918238994,0,1,0,0,0,0,0,0,0,0
-20,7.169811321,0,1,0,0,0,0,0,0,0,0
-20,7.421383648,0,1,0,0,0,0,0,0,0,0
-20,7.672955975,0,1,0,0,0,0,0,0,0,0
-20,7.924528302,0,1,0,0,0,0,0,0,0,0
-20,8.176100629,0,1,0,0,0,0,0,0,0,0
-20,8.427672956,0,1,0,0,0,0,0,0,0,0
-20,8.679245283,0,1,0,0,0,0,0,0,0,0
-20,8.93081761,0,1,0,0,0,0,0,0,0,0
-20,9.182389937,0,1,0,0,0,0,0,0,0,0
-20,9.433962264,0,1,0,0,0,0,0,0,0,0
-20,9.685534591,0,1,0,0,0,0,0,0,0,0
-20,9.937106918,0,1,0,0,0,0,0,0,0,0
-20,10.18867925,0,1,0,0,0,0,0,0,0,0
-20,10.44025157,0,1,0,0,0,0,0,0,0,0
-20,10.6918239,0,1,0,0,0,0,0,0,0,0
-20,10.94339623,0,1,0,0,0,0,0,0,0,0
-20,11.19496855,0,1,0,0,0,0,0,0,0,0
-20,11.44654088,0,1,0,0,0,0,0,0,0,0
-20,11.69811321,0,1,0,0,0,0,0,0,0,0
-20,11.94968553,0,1,0,0,0,0,0,0,0,0
-20,12.20125786,0,1,0,0,0,0,0,0,0,0
-20,12.45283019,0,1,0,0,0,0,0,0,0,0
-20,12.70440252,0,1,0,0,0,0,0,0,0,0
-20,12.95597484,0,1,0,0,0,0,0,0,0,0
-20,13.20754717,0,1,0,0,0,0,0,0,0,0
-20,13.4591195,0,1,0,0,0,0,0,0,0,0
-20,13.71069182,0,1,0,0,0,0,0,0,0,0
-20,13.96226415,0,1,0,0,0,0,0,0,0,0
-20,14.21383648,0,1,0,0,0,0,0,0,0,0
-20,14.46540881,0,1,0,0,0,0,0,0,0,0
