num_layers,num_node1,num_node2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,test_acc
0.1,7.7,7.3,0,1,0,0,0,0,0,0,0,0,0
1.8,17.3,0.7,0,1,0,0,0,0,0,0,0,0,0.801608579
0,20.7,8.8,0,1,0,0,0,0,0,0,0,0,0
1.9,11.4,14.8,0,1,0,0,0,0,0,0,0,0,0.865951743
0.6,16.4,4.5,0,1,0,0,0,0,0,0,0,0,0
1.6,22,6.4,0,1,0,0,0,0,0,0,0,0,0.721179625
0,12.8,13.9,0,1,0,0,0,0,0,0,0,0,0
1.6,12.8,17.7,0,1,0,0,0,0,0,0,0,0,0.72922252
2.8,19.5,10,0,1,0,0,0,0,0,0,0,0,0
2.1,17.2,7.7,0,1,0,0,0,0,0,0,0,0,0.932975871
1,3.9,6.3,0,1,0,0,0,0,0,0,0,0,0
2.2,17.1,2.8,0,1,0,0,0,0,0,0,0,0,0.865951743
0.2,10.6,22.9,0,1,0,0,0,0,0,0,0,0,0
1.8,2.7,10.4,0,1,0,0,0,0,0,0,0,0,0.772117962
0.3,2.7,8.1,0,1,0,0,0,0,0,0,0,0,0
2.3,1.8,16.3,0,1,0,0,0,0,0,0,0,0,0.560321716
0.5,16.3,21.6,0,1,0,0,0,0,0,0,0,0,0
1.9,6.2,9.8,0,1,0,0,0,0,0,0,0,0,0.892761394
1.5,5.7,4.1,0,1,0,0,0,0,0,0,0,0,0
2.1,19.2,8.3,0,1,0,0,0,0,0,0,0,0,0.868632708
2.5,21.2,2.9,0,1,0,0,0,0,0,0,0,0,0
1.9,5.6,21.8,0,1,0,0,0,0,0,0,0,0,0.378016086
2.5,20.3,19,0,1,0,0,0,0,0,0,0,0,0
1.7,0.8,12.8,0,1,0,0,0,0,0,0,0,0,0.608579088
0,1.2,18.3,0,1,0,0,0,0,0,0,0,0,0
2.1,9.2,7.1,0,1,0,0,0,0,0,0,0,0,0.973190349
0.6,7,17,0,1,0,0,0,0,0,0,0,0,0
1.6,10.9,18.1,0,1,0,0,0,0,0,0,0,0,0.72922252
2.5,17.7,23.9,0,1,0,0,0,0,0,0,0,0,0
1.9,19.2,3.2,0,1,0,0,0,0,0,0,0,0,0.801608579
2.2,4,0.4,0,1,0,0,0,0,0,0,0,0,0
2.2,10.8,21.9,0,1,0,0,0,0,0,0,0,0,0.471849866
2.3,2.4,0,0,1,0,0,0,0,0,0,0,0,0
1.9,23,15.3,0,1,0,0,0,0,0,0,0,0,0.544235925
0.2,4.6,23.6,0,1,0,0,0,0,0,0,0,0,0
2.1,23.1,3.4,0,1,0,0,0,0,0,0,0,0,0.608579088
2.5,19,14.8,0,1,0,0,0,0,0,0,0,0,0
1.6,6.4,4.3,0,1,0,0,0,0,0,0,0,0,0.860589812
0.7,3.8,7.2,0,1,0,0,0,0,0,0,0,0,0
2.2,2,16.8,0,1,0,0,0,0,0,0,0,0,0.514745308
2.5,4,3.4,0,1,0,0,0,0,0,0,0,0,0
2.3,2.3,21.6,0,1,0,0,0,0,0,0,0,0,0.206434316
2.5,6.9,23.7,0,1,0,0,0,0,0,0,0,0,0
2.2,9.4,16.1,0,1,0,0,0,0,0,0,0,0,0.804289544
2.5,1.8,18.4,0,1,0,0,0,0,0,0,0,0,0
1.9,6.6,7.8,0,1,0,0,0,0,0,0,0,0,0.932975871
0,12.5,21.9,0,1,0,0,0,0,0,0,0,0,0
1.8,22.9,12.2,0,1,0,0,0,0,0,0,0,0,0.632707775
1.5,23.7,20.2,0,1,0,0,0,0,0,0,0,0,0
2.3,14.3,19.2,0,1,0,0,0,0,0,0,0,0,0.664879357
1.1,1.1,1.8,0,1,0,0,0,0,0,0,0,0,0
2.3,7.2,14.7,0,1,0,0,0,0,0,0,0,0,0.801608579
1.3,10,4.5,0,1,0,0,0,0,0,0,0,0,0
1.6,12.9,10.7,0,1,0,0,0,0,0,0,0,0,0.973190349
2.6,2.8,21.9,0,1,0,0,0,0,0,0,0,0,0
2.3,19,7,0,1,0,0,0,0,0,0,0,0,0.865951743
0,21.5,13,0,1,0,0,0,0,0,0,0,0,0
1.6,11.9,16.3,0,1,0,0,0,0,0,0,0,0,0.828418231
1.7,17.5,0.6,0,1,0,0,0,0,0,0,0,0,0
2.2,19.3,22.3,0,1,0,0,0,0,0,0,0,0,0.343163539
2.1,3.7,8.5,0,1,0,0,0,0,0,0,0,0,0
2,21.2,15.2,0,1,0,0,0,0,0,0,0,0,0.651474531
2.6,12.9,10.9,0,1,0,0,0,0,0,0,0,0,0
2.1,12.9,8.7,0,1,0,0,0,0,0,0,0,0,0.99463807
0.5,15.5,10.2,0,1,0,0,0,0,0,0,0,0,0
1.6,23,4.7,0,1,0,0,0,0,0,0,0,0,0.651474531
1.7,11.5,15.3,0,1,0,0,0,0,0,0,0,0,0
1.6,5.1,16.9,0,1,0,0,0,0,0,0,0,0,0.651474531
1.4,0.5,6,0,1,0,0,0,0,0,0,0,0,0
1.8,6.4,17.4,0,1,0,0,0,0,0,0,0,0,0.686327078
2.7,1.5,1.5,0,1,0,0,0,0,0,0,0,0,0
1.7,4.9,21.6,0,1,0,0,0,0,0,0,0,0,0.343163539
2.9,2.8,1.4,0,1,0,0,0,0,0,0,0,0,0
1.8,8.2,10.1,0,1,0,0,0,0,0,0,0,0,0.946380697
1.3,10.7,20.7,0,1,0,0,0,0,0,0,0,0,0
1.9,10.1,11,0,1,0,0,0,0,0,0,0,0,0.965147453
1.2,17.7,8.3,0,1,0,0,0,0,0,0,0,0,0
1.6,20.3,12,0,1,0,0,0,0,0,0,0,0,0.785522788
1.2,1.6,14.2,0,1,0,0,0,0,0,0,0,0,0
2,1.8,7.2,0,1,0,0,0,0,0,0,0,0,0.72922252
1.7,23.7,9.4,0,1,0,0,0,0,0,0,0,0,0
2.3,3.6,22.9,0,1,0,0,0,0,0,0,0,0,0.225201072
2.7,19.6,12.7,0,1,0,0,0,0,0,0,0,0,0
1.6,3.7,20.7,0,1,0,0,0,0,0,0,0,0,0.375335121
2.4,6.2,2.8,0,1,0,0,0,0,0,0,0,0,0
2,20.2,8,0,1,0,0,0,0,0,0,0,0,0.828418231
1.5,12.9,18.1,0,1,0,0,0,0,0,0,0,0,0
2.1,8.8,22.8,0,1,0,0,0,0,0,0,0,0,0.372654155
0.7,20.6,7.1,0,1,0,0,0,0,0,0,0,0,0
1.6,4.4,15.8,0,1,0,0,0,0,0,0,0,0,0.656836461
0.9,19.9,20.5,0,1,0,0,0,0,0,0,0,0,0
1.8,21.9,1,0,1,0,0,0,0,0,0,0,0,0.600536193
2.9,3.5,21,0,1,0,0,0,0,0,0,0,0,0
2.2,21.3,1.7,0,1,0,0,0,0,0,0,0,0,0.686327078
2.5,14,9.3,0,1,0,0,0,0,0,0,0,0,0
2,10.4,1.6,0,1,0,0,0,0,0,0,0,0,0.892761394
0.9,11.3,22.5,0,1,0,0,0,0,0,0,0,0,0
2.3,16,13,0,1,0,0,0,0,0,0,0,0,0.890080429
2.2,8.5,4.9,0,1,0,0,0,0,0,0,0,0,0
2,6.6,10.2,0,1,0,0,0,0,0,0,0,0,0.922252011
0.1,19.1,15.5,0,1,0,0,0,0,0,0,0,0,0
1.1,14.9,0.1,0,1,0,0,0,0,0,0,0,0,0.801608579
1.8,18.2,0.3,0,1,0,0,0,0,0,0,0,0,0
2.3,9,15.7,0,1,0,0,0,0,0,0,0,0,0.804289544
1.2,0.1,11.8,0,1,0,0,0,0,0,0,0,0,0
1.9,5.8,9.4,0,1,0,0,0,0,0,0,0,0,0.90080429
0.7,10.2,21.9,0,1,0,0,0,0,0,0,0,0,0
1.9,8.7,8.4,0,1,0,0,0,0,0,0,0,0,0.975871314
0.6,14.5,1.1,0,1,0,0,0,0,0,0,0,0,0
1.7,11.9,10.3,0,1,0,0,0,0,0,0,0,0,0.989276139
1.3,16.2,16.3,0,1,0,0,0,0,0,0,0,0,0
1.7,15.3,16.9,0,1,0,0,0,0,0,0,0,0,0.758713137
0.6,3,4.6,0,1,0,0,0,0,0,0,0,0,0
1.7,3,11.4,0,1,0,0,0,0,0,0,0,0,0.758713137
0.1,4.1,3.5,0,1,0,0,0,0,0,0,0,0,0
2.3,3.9,4.1,0,1,0,0,0,0,0,0,0,0,0.785522788
